canonical_smiles,Molecular_Weight,LogP,TPSA,H_Bond_Donors,H_Bond_Acceptors,Rotatable_Bonds,Ring_Count,Heavy_Atom_Count,Fraction_CSP3,Aromatic_Rings,Molar_Refractivity,Num_Heteroatoms,LogS,BBB,Toxic,Num_Aromatic_Carbocycles,BalabanJ,Labute_ASA
C#CC(C)(C)C,82.14599999999999,1.6657,0.0,0.0,0.0,0.0,0.0,6.0,0.6666666666666666,0.0,28.287999999999982,0.0,-2.6135564252,,,0.0,3.552734354515761,39.56318699167186
C#CC(C)(C)N,83.13399999999999,0.3569000000000001,26.02,1.0,1.0,0.0,0.0,6.0,0.6,0.0,27.099399999999992,1.0,1.0316559884,,,0.0,3.552734354515761,38.53813557428796
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,256.13199999999995,3.1350000000000016,29.1,1.0,1.0,2.0,1.0,16.0,0.25,1.0,66.84020000000002,4.0,-4.2324,,0.0,1.0,2.94226226872626,104.93819793515104
C#CC(C)(C)O,84.118,0.3905,20.23,1.0,1.0,0.0,0.0,6.0,0.6,0.0,25.13079999999999,1.0,1.0751110617,,0.0,0.0,3.552734354515761,37.99247862947126
C#CC(C)(CC)OC(=O)c1ccccc1C(=O)O,246.262,2.3435,63.60000000000001,1.0,3.0,4.0,1.0,18.0,0.2857142857142857,1.0,66.34580000000003,4.0,,,0.0,1.0,3.062349524874275,105.58098860831954
C#CC(C)(CC)OC(N)=O,141.17,0.8836000000000002,52.32,1.0,2.0,2.0,0.0,10.0,0.5714285714285714,0.0,38.1974,3.0,-0.9456,,,0.0,4.099978336000516,60.543087132631825
C#CC(C)(O)CC,98.14499999999995,0.7806,20.23,1.0,1.0,1.0,0.0,7.0,0.6666666666666666,0.0,29.747799999999987,1.0,0.0167319924,1.0,,0.0,3.6557909262199413,44.35742074386786
C#CC(C)(O)CC(C)C,126.19899999999996,1.4166999999999998,20.23,1.0,1.0,2.0,0.0,9.0,0.75,0.0,38.9118,1.0,-1.0365979243,,0.0,0.0,3.759716238341915,57.08730497266107
C#CC(C)(O)CC/C=C(\C)CC,166.26399999999998,2.5071000000000003,20.23,1.0,1.0,4.0,0.0,12.0,0.6363636363636364,0.0,52.73880000000003,1.0,-2.3027678878,,,0.0,3.7911254581292564,75.49252828366666
C#CC(C)(O)CCC=C(C)C,152.237,2.117,20.23,1.0,1.0,3.0,0.0,11.0,0.6,0.0,48.12180000000002,1.0,-1.7720804309,,,0.0,3.7365447763291164,69.12758616927005
C#CC(C)(O)CCCC(C)CCCC(C)C,224.388,4.003300000000003,20.23,1.0,1.0,8.0,0.0,16.0,0.8666666666666667,0.0,71.16080000000005,1.0,-4.953059618999999,,,0.0,3.51698182519572,101.64189977343733
C#CC(C)N(C(=O)CCl)c1ccccc1,221.687,2.2801,20.31,0.0,1.0,3.0,1.0,15.0,0.25,1.0,62.94300000000003,3.0,-2.6468,,,1.0,3.0280431029930943,94.84490319486473
C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,236.702,2.825400000000001,32.34,1.0,1.0,2.0,1.0,16.0,0.25,1.0,66.52870000000003,4.0,-3.8971,,1.0,1.0,2.648497145709761,100.39476537847274
C#CC(C)OC(=O)Nc1cccc(Cl)c1,223.659,2.910200000000001,38.33,1.0,2.0,2.0,1.0,15.0,0.1818181818181818,1.0,59.85070000000002,4.0,-2.6172,,,1.0,2.558363000975297,93.38353482337963
C#CC(O)(/C=C/Cl)CC,144.601,1.5132,20.23,1.0,1.0,2.0,0.0,9.0,0.4285714285714285,0.0,39.06680000000001,2.0,,1.0,,0.0,4.141053464764248,60.3360260529619
C#CC(O)(/C=C\Cl)CC,144.60099999999997,1.5132,20.23,1.0,1.0,2.0,0.0,9.0,0.4285714285714285,0.0,39.066800000000015,2.0,,,0.0,0.0,4.141053464764248,60.3360260529619
C#CC(O)C(CC)CCCC,154.253,2.1969000000000003,20.23,1.0,1.0,5.0,0.0,11.0,0.8,0.0,48.14580000000003,1.0,,,0.0,0.0,3.671778603643811,69.8171892014543
C#CC(O)CCC,98.14499999999998,0.7806,20.23,1.0,1.0,2.0,0.0,7.0,0.6666666666666666,0.0,29.747799999999987,1.0,-0.4121,,,0.0,3.040482576057924,44.35742074386786
C#CC(O)CCCCC,126.199,1.5608,20.23,1.0,1.0,4.0,0.0,9.0,0.75,0.0,38.98180000000001,1.0,,,0.0,0.0,2.9945259112220644,57.08730497266109
C#CC(OC(=O)C1C(C=C(C)C)C1(C)C)/C(C)=C/CC,274.404,4.126100000000004,26.3,0.0,2.0,5.0,1.0,20.0,0.6111111111111112,0.0,82.95300000000005,2.0,-6.3931,,,0.0,2.7577992639647384,122.83252247608404
C#CC(OC(N)=O)c1ccccc1,175.187,1.4562,52.32,1.0,2.0,2.0,1.0,13.0,0.1,1.0,48.68440000000001,3.0,,1.0,,1.0,2.8043947744189954,76.50535499550602
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,312.4530000000001,3.8826000000000014,37.3,1.0,2.0,0.0,4.0,23.0,0.7619047619047619,0.0,90.49280000000005,2.0,-5.66,,,0.0,1.7024099249747302,139.2801469135596
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(O)C3CCC21C,314.42500000000007,2.607400000000001,57.53,2.0,3.0,0.0,4.0,23.0,0.75,0.0,87.33560000000003,3.0,-4.57,,,0.0,1.7024099249747302,137.709438551359
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,298.426,3.4925000000000024,37.3,1.0,2.0,0.0,4.0,22.0,0.75,0.0,85.87580000000004,2.0,-4.63,,,0.0,1.6520192857313454,132.91520479916298
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC,312.45300000000003,3.8826000000000014,37.3,1.0,2.0,1.0,4.0,23.0,0.7619047619047619,0.0,90.49280000000005,2.0,-5.19,,,0.0,1.6711962826978066,139.2801469135596
C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,337.4630000000001,4.221000000000004,46.260000000000005,1.0,3.0,0.0,5.0,25.0,0.6818181818181818,1.0,96.35280000000006,3.0,-5.51,,,0.0,1.5319846700877746,149.4111683415793
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,296.41,3.612600000000002,40.46,2.0,2.0,0.0,4.0,22.0,0.6,1.0,86.50660000000003,2.0,-4.47,,,1.0,1.721704964542758,132.1107921567131
C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,310.43700000000007,3.915600000000003,29.46,1.0,2.0,1.0,4.0,23.0,0.6190476190476191,1.0,91.39380000000004,2.0,-5.49,,,1.0,1.6961562138560808,138.79504574842056
C#CC1(O)CCCCC1,124.183,1.3148,20.23,1.0,1.0,0.0,1.0,9.0,0.75,0.0,36.8678,1.0,-0.7048960629000001,,0.0,0.0,2.4892566858759495,56.08147381913186
C#CC1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,312.4530000000001,3.882600000000004,37.3,1.0,2.0,1.0,4.0,23.0,0.7619047619047619,0.0,90.49280000000006,2.0,,,1.0,0.0,1.6711962826978066,139.2801469135596
C#CC1(OC(=O)C(C)(C)C)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,382.5440000000002,5.0895000000000055,43.370000000000005,0.0,3.0,1.0,4.0,28.0,0.76,0.0,109.20400000000008,3.0,-7.16,,,0.0,1.6167382549146245,169.22074894850067
C#CC1(OC(=O)CCCCCC)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,410.5980000000002,6.013800000000007,43.370000000000005,0.0,3.0,6.0,4.0,30.0,0.7777777777777778,0.0,118.50800000000008,3.0,-6.89,,,0.0,1.486257650035173,181.9506331772939
C#CC1(OC(=O)c2ccc(-c3ccccc3)cc2)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,478.6320000000002,7.024200000000008,43.370000000000005,0.0,3.0,3.0,6.0,36.0,0.4545454545454545,2.0,140.95049999999986,3.0,-8.11,,,2.0,1.2224249914528427,213.8751689030423
C#CC1(OC(=O)c2ccc(Oc3ccccc3)cc2)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,494.6310000000002,7.149500000000008,52.60000000000001,0.0,4.0,4.0,6.0,37.0,0.4545454545454545,2.0,142.03049999999985,4.0,-6.84,,,2.0,1.1878814083850413,218.9887141325492
C#CC1(OC(=O)c2ccccc2)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,402.5340000000001,5.357200000000005,43.370000000000005,0.0,3.0,2.0,5.0,30.0,0.5555555555555556,1.0,115.51450000000006,3.0,-7.75,,,1.0,1.4182110572668893,178.81807469697827
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,340.4630000000001,4.063300000000004,43.370000000000005,0.0,3.0,1.0,4.0,25.0,0.7272727272727273,0.0,95.42300000000006,3.0,-4.79,,,0.0,1.642837115052668,150.12592260531082
C#CC1(OC(C)=O)CCCCC1,166.22,1.8856,26.3,0.0,2.0,1.0,1.0,12.0,0.7,0.0,46.41500000000003,2.0,-2.352215179,,,0.0,2.6146255050426763,73.29219162527971
C#CC1(OC(N)=O)CCCCC1,167.208,1.4178,52.32000000000001,1.0,2.0,1.0,1.0,12.0,0.6666666666666666,0.0,45.31740000000002,3.0,-1.8253,1.0,,0.0,2.6146255050426763,72.26714020789582
C#CC1(OCC(O)CN2CCN(c3ccc(F)cc3)CC2)CCCCC1,360.4730000000002,2.6613000000000007,35.94,1.0,4.0,6.0,3.0,26.0,0.6190476190476191,1.0,101.66080000000008,5.0,,1.0,,1.0,1.4089744253217942,155.4860796452828
C#CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,322.4080000000001,2.620400000000001,45.59,1.0,4.0,3.0,5.0,24.0,0.45,2.0,93.66280000000005,4.0,-2.12,,,1.0,1.6910024369182224,142.00225462724842
C#CC=C,52.076,0.8055999999999999,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,19.03,0.0,-1.4648,,,0.0,2.9217836800202113,26.14369973069439
C#CCBr,118.96099999999998,1.0145,0.0,0.0,0.0,0.0,0.0,4.0,0.3333333333333333,0.0,22.626999999999995,1.0,-0.9022,,,0.0,2.4330963097956353,34.335908254123396
C#CCC,54.09199999999999,1.0295999999999998,0.0,0.0,0.0,0.0,0.0,4.0,0.5,0.0,19.124,0.0,-1.2753,,,0.0,2.4330963097956353,26.833302762878645
C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,477.4810000000002,0.9816000000000004,207.29999999999995,5.0,9.0,10.0,3.0,35.0,0.2608695652173913,3.0,126.04960000000004,12.0,,,1.0,1.0,1.755996827211306,199.36501981346095
C#CCC(NC(=O)OC(C)(C)C)C(=O)NCC(=O)OC,284.312,0.1921999999999999,93.73,2.0,5.0,5.0,0.0,20.0,0.6153846153846154,0.0,71.63340000000002,7.0,-1.45,,,0.0,4.488192387845984,117.92916291880925
C#CCC1(OC(N)=O)CCCCC1,181.235,1.8079,52.32000000000001,1.0,2.0,2.0,1.0,13.0,0.7,0.0,49.934400000000025,3.0,,1.0,,0.0,2.616485017634588,78.63208232229243
C#CCC1=C(C)C(OC(=O)[C@H]2[C@H](C=C(C)C)C2(C)C)CC1=O,300.398,3.449200000000002,43.370000000000005,0.0,3.0,4.0,2.0,22.0,0.5789473684210527,0.0,85.84600000000005,3.0,-4.5746,,,0.0,2.072272288421603,132.3531555369952
C#CCC1=C(C)[C@H](OC(=O)[C@H]2[C@H](C=C(C)C)C2(C)C)CC1=O,300.398,3.449200000000002,43.370000000000005,0.0,3.0,4.0,2.0,22.0,0.5789473684210527,0.0,85.84600000000005,3.0,,,0.0,0.0,2.072272288421603,132.3531555369952
